"","SampleID","Acetobacterium","Acidiferrobacter","Acidihalobacter","Acidimicrobium","Acidithiobacillus","Acinetobacter","Aequorivita","Agarilytica","Alcanivorax","Algibacter","Aliivibrio","Alistipes","Alloprevotella","Anaerococcus","Anaerocolumna","Anaerohalosphaera","Anaerotignum","Aquaspirillum","Aquicella","Aquimarina","Arcobacter","Arcticibacterium","Azotobacter","Bacteroides","Bdellovibrio","Beggiatoa","Bermanella","Bifidobacterium","Blautia","Borreliella","Brachyspira","Caminibacter","Candidatus Aquiluna","Candidatus Carsonella","Candidatus Endolissoclinum","Candidatus Fokinia","Candidatus Hepatoplasma","Candidatus Izimaplasma","Candidatus Kuenenia","Candidatus Mancarchaeum","Candidatus Nardonella","Candidatus Nasuia","Candidatus Nitrosotenuis","Candidatus Nitrotoga","Candidatus Nucleicultrix","Candidatus Pelagibacter","Candidatus Phycorickettsia","Candidatus Puniceispirillum","Candidatus Reidiella","Candidatus Ruthia","Candidatus Solibacter","Candidatus Thioglobus","Christensenella","Clostridium","Colwellia","Conexibacter","Coraliomargarita","Coxiella","Cryobacterium","Cutibacterium","Cycloclasticus","Defluviicoccus","Desulfobacula","Desulfocapsa","Desulfopila","Desulfovibrio","Devosia","Dokdonia","Draconibacterium","Duncaniella","Egicoccus","Elusimicrobium","Emcibacter","Entomomonas","Escherichia","Ethanoligenens","Faecalibacterium","Faecalibaculum","Fastidiosipila","Ferrovibrio","Filifactor","Filomicrobium","Flammeovirga","Flavivirga","Flavobacterium","Flavonifractor","Flintibacter","Fluviicola","Formosa","Francisella","Fuerstia","Fusobacterium","Gemmatimonas","Geoalkalibacter","Glaciecola","Granulicella","Granulosicoccus","Gudongella","Haematospirillum","Hahella","Haliangium","Halioglobus","Haliscomenobacter","Halobacteriovorax","Halocynthiibacter","Halomonas","Hungatella","Hydrogenophaga","Hypericibacter","Hyphomicrobium","Ilumatobacter","Intestinimonas","Jannaschia","Kangiella","Kineobactrum","Klebsiella","Kordia","Labilibaculum","Lachnoclostridium","Lacinutrix","Lacrimispora","Lactobacillus","Lawsonella","Legionella","Lentilitoribacter","Listeria","Litorilituus","Luteitalea","Luteolibacter","Lutibacter","Magnetococcus","Magnetospira","Malaciobacter","Maribacter","Maribius","Mariniblastus","Marinomonas","Mariprofundus","Marivirga","Massilistercora","Mediterraneibacter","Methylacidiphilum","Methylobacterium","Methylomicrobium","Methylomonas","Methylophaga","Methylophilus","Micavibrio","Microbulbifer","Microterricola","Monaibacterium","Moritella","Mucilaginibacter","Muribaculum","Mycoplasma","Nakamurella","Neorickettsia","Neptunomonas","Nitrosomonas","Nitrosopumilus","Nonlabens","Nordella","Oblitimonas","Oceanicoccus","Octadecabacter","Oleiphilus","Oleispira","Orientia","Owenweeksia","Parabacteroides","Parachlamydia","Paraglaciecola","Paraoceanicella","Pelolinea","Peptacetobacter","Peptoclostridium","Permianibacter","Petrocella","Phocaeicola","Phycisphaera","Pirellula","Planktomarina","Polaribacter","Polaromonas","Poseidonibacter","Prevotella","Pseudarthrobacter","Pseudoalteromonas","Pseudoclostridium","Pseudohalocynthiibacter","Pseudohongiella","Pseudomonas","Psychrobacter","Psychromonas","Pyruvatibacter","Ralstonia","Reinekea","Rhodanobacter","Rhodobacter","Rhodomicrobium","Rhodopirellula","Rickettsia","Roseobacter","Ruminococcus","Ruthenibacterium","Salinibacterium","Salinivirga","Salipiger","Saprospira","Sedimenticola","Seonamhaeicola","Shewanella","Shigella","Simkania","Spartinivicinus","Sphingomonas","Spongiibacter","Steroidobacter","Streptomyces","Sulfitobacter","Sulfuritortus","Sulfurivermis","Sulfurovum","Sutterella","Tatlockia","Tenacibaculum","Tepidiforma","Terasakiella","Terricaulis","Thalassotalea","Thermacetogenium","Thermoanaerosceptrum","Thermogutta","Thermosediminibacter","Thiospirochaeta","Treponema","Truepera","Turneriella","Unclassified","Undibacterium","Urechidicola","Variovorax","Veillonella","Vibrio","Wenzhouxiangella","Winogradskyella","Woeseia","Wolbachia","Yoonia","Zhongshania"
"1","20ppt3C_1",0,0.000436126158334854,0,0,0,0,0,0,0,0,0,0,0,0.0356377375096481,0,0,0,0,0,0,0,0,0.00113877385787434,0,0,0,0,0,0,0,0,0,0,0.0489915051196153,0,0,0.00130837847500456,0,0,0,0,0.137670490647702,0,0,0,0.0314010834001095,0,0,0,0,0,0.00755952007780413,0,0,0.0118312808343087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015991292472278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138833493736595,0.000654189237502281,0,0,0,0,0,0.0607063383171098,0,0,0,0,0,0,0,0.00145375386111618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00203525540556265,0.000508813851390663,0,0,0,0,0,0,0,0.000193833848148824,0,0,0,0,0,0.000218063079167427,0,0,0,0,0.0954389409822772,0,0,0,0,0,0,0,0,0.00072687693055809,0,0,0,0,0,0,0,0,0,0,0,0.00200618032834033,0,0,0.000629960006483678,0,0,0.00188988001945103,0.00610576621668796,0.001977105251118,0,0,0.0147556016903292,0,0,0.0201829494384963,0,0,0,0,0,0.00040705108111253,0,0,0,0.00872252316669708,0.330372172910748,0,3.63438465279045e-05,0,0,0,0,0,0.00072687693055809,0.00130837847500456,0,0,0,0,0,0,0,0,0,0,0.00072687693055809,0,0,0,0,0,0.000581501544446472,0,0,0,0,0,0,0,0,0,0,0.0861591455021523,0,0.000436126158334854,0,0,0,0.00329517541853001,0,0,0.000290750772223236,0,0,0,0,0,0,0,0,0,0.0599631155744463,0,0,0,0,0,0,0.000799564623613899,0,0.00523351390001825,0,0
"2","20ppt3C_2",0.0013668766418937,0.000899260948614277,0,0,0,0,0,0,0,2.24815237153569e-05,0,0.00237486641429498,0,0.0208885471778116,0.000119901459815237,0,0,0,0,0,0,0,0.00038967974439952,0.000125896532805999,0,4.49630474307139e-05,0,0.000629482664029994,0.000154159019762447,0,0,0,0,0.040376816592781,0,0,0.000629482664029994,0,0,0,0,0.0850700857389106,0,0,0,0.0208628540078512,0,0,0,0,0,0.0058451961659928,0.000344716696968806,0,0.00737284177992081,0,0,0,0,0,0,0,0,0,0,0.000287763503556569,0,0,0,0.0194914810612145,0,0.00188844799208998,0,2.24815237153569e-05,0,0,0,0.00921100143080624,0.000269778284584283,0,0.000269778284584283,0,0,0,0,0.000539556569168566,0.000359704379445711,0.00773364415808278,0.000674445711460708,0,0,0,0,0,0.037012081876716,0,0,0,0,0,0,0,0.000494593521737852,0,0,0,0.000247296760868926,0,0,0,0,0.000269778284584283,0,0,0,1.12407618576785e-05,0.00152874361264427,0.000254790602107378,3.37222855730354e-05,0,0.000224815237153569,0,0,0,0.000224815237153569,0,0,0,0,0,0,0,0,0,0,0,0.0659270682952842,0,0,0.000404667426876425,3.59704379445711e-05,0,0,0,0,0.000149876824769046,0,0,0,0,0,0,0,0.0217845964801809,0.00296756113042711,0,0,0.00147478795572741,0,0,0.000689433393937612,0,0,0.00125896532805999,0.00339920638576197,0.00107911313833713,0.000611497445057708,0,0.00719408758891422,0.000141312434782244,0,0.0144181505427822,0,0,0,0,0,0.000125896532805999,0.000344716696968806,0,0,0.0061599374980078,0.257923195439401,0,2.24815237153569e-05,0.00518515796865505,0,0,0.000764371806322135,0,0.000269778284584283,0.000951717837283443,0,0,0,0,0,0,0,0,0,0,0,0.00164115123122106,0.000134889142292142,0,0,0,0.000599507299076185,0,0.000359704379445711,0,0,0,0,0,0,0,0,0.0532062727930114,0,0.000224815237153569,0,0.000115619264821836,0,0.00236805383135093,0,0,0.000134889142292142,0,0,0.00016186697075057,0,0,0,0.0009741993609988,0,0,0.27413577573467,0,0,0,0,0,0,0.00058451961659928,0,0.00350711769959568,0,0
"3","20ppt3C_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234056107716952,0,0,0,0,0,0,0,0,0.0019980399439252,0,0,0,0,0,0,0,0,0,0,0.0659353181495315,0,0,0.00777015533748688,0,0,0,0,0.174717492874348,0,0,0,0.0488409764070604,0,0,0,0,0,0.0277505547767389,0,0,0.00242971524045225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000444008876427822,0,0.000222004438213911,0,0,0,0,0,0,0,0,0,0.000999019971962599,0,0,0,0.0128762574164068,0.000777015533748688,0,0,0,0,0,0.104564090398752,0,0,0,0,0,0,0,0.00177603550571129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399607988785039,0.000148002958809274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333006657320866,0,0,0,0,0.106173622575803,0,0,0,0,0,0,0,0,0.000592011835237095,0,0,0,0,0,0,0,0,0,0,0.014874297360332,0.000710414202284515,0,0,0,0,0,0.000555011095534777,0.0019980399439252,0,8.88017752855643e-05,0,0.0184263683717546,0,0,0.0222374445610934,0,0,0,0,0,0,0,0,0,0.0114332285680164,0.231042037071383,0,0,0,0,0,0,0,0.00155403106749738,0.00166503328660433,0,0.000111002219106955,0,0,0,0,0,0,0,0,0.00111002219106955,0,0,0,0,0,0.00133202662928346,0,0,0,0,0,0.00172053439615781,0,0,0,0,0.0205724112744891,0,0.00133202662928346,0,0,0,0.00214604290273447,0,0,0.000333006657320866,0,0,0,0,0.000444008876427822,0,0,0,0,0.0792331647336507,0,0,0,0,0,0,0,0,0.00133202662928346,0,0
"4","35ppt0C_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.021555824505952,0,0,0,0,0,0,0,0,0.0022760477408609,0,0,0,0,0,0,0,0,0,0,0.0682814322258271,0,0,0.00649233290016061,0,0,0,0,0.124025945747896,0,0,0,0.0519386632012849,0,0,0,0,0,0.0378346296595566,0,0,0.0026864825793768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016790516121105,0,0,0,0.00839525806055251,0.000783557418984901,0,0,0,0,0,0.113932979946209,0,0,0,0,0,0,0,0.0013432412896884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00388047483687761,0.000410434838515901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000783557418984901,0,0,0,0,0.123310349941782,0,0,0,0,0,0,0,0,0.0017163638701574,0,0,0,0,0,0,0,0,0,0,0.0127607922520398,0.000940268902781881,0,0,0,0,0,0.000447747096562801,0,0.00035819767725024,0.0002238735482814,0,0.0188053780556376,0,0,0.0154472748314166,0,0,0,0,0,0,0,0,0,0.0114175509623514,0.237961300110526,0,0,0,0,0,0,0,0.0021267987086733,0.00218276709574365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000596996128750401,0,0.0015671148379698,0,0,0,0.00229470386988435,0,0,0,0,0.0198501212809508,0,0.0034700399983617,0,0,0,0.00395509935297141,0,0,0.0002238735482814,0,0,0,0,7.46245160938001e-05,0,0,0,0,0.093297228785849,0,0,0,0,0,0,0,0,0.000671620644844201,0,0
"5","35ppt0C_2",0,0.000997744173234421,0,0,0.000124718021654303,0,0,0,0,0,0,0,0,0.0174605230316024,0,0,0,0,0,0,0,0,0.00286851449804896,0,0,0,0,0,0,0,0,0,0,0.0528804411814243,0,0,0.00324266856301187,0,0,0,0,0.0850576907682344,0,0,0,0.0456467959254748,0,0,0,0,0,0.0446490517522404,0,0,0.00424041273624629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000436513075790059,0,0,0,0,0,0,0,0,0,0.00386625867128338,0,0,0,0.0117234940355045,0,0,0,0,0,0,0.0490765415209681,0,0,0,0,0,0,0,0.00174605230316024,0,0,0,0,0,0,0,0,0,0.00149661625985163,0,0.000249436043308605,0,0.00465613947509397,0.000249436043308605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000498872086617211,0,0,0,0,0.167937270372578,0,0,0,0,0,0,0,0,0.0016629069553907,0,0,0,0,0,0,0,0,0,0,0.0169616509449852,0.00174605230316024,0,0,0,0,0,0.000498872086617211,0.00224492438977745,0.000748308129925816,0.000199548834646884,0,0.0274379647639466,0,0,0.0198301654430341,0,0,0,0,0,0,0,0,0,0.0167122149016766,0.261241170958284,0,0,0,0,0,0,0,0.00249436043308605,0.00224492438977745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133032556431256,0,0.00162133428150593,0,0,0,0.0024320014222589,0,0,0,0,0.0363345169752868,0,0.00386625867128338,0,0,0,0.00424041273624629,0,0,0.000249436043308605,0,0,0,0,0.000498872086617211,0,0,0,0,0.0938042267131504,0,0,0,0,0,0,0,0,0.00249436043308605,0,0
"6","35ppt0C_3",0,0.000590541479266463,0,0,0,0,0,0,0,0,0,0,0,0.035601214892921,0,0,0,0,0,0,0,0,0.00147635369816616,0,0,0,0,0,0,0,0,0,0,0.0543298160925146,0,0,0.00132871832834954,0,0,0,0,0.135972175601103,0,0,0,0.0249503774990081,0,0,0,0,0,0.00811994533991386,0,0,0.0114903400566394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028050720265157,0,0,0,0,0,0,0,0,0,0,0,0.000664359164174771,0,0,0,0.0103344758871631,0.000516723794358155,0,0,0,0,0,0.0589311184517991,0,0,0,0,0,0,0,0.00199307749252431,0,0,0,0,0,0,0,0,0,0.000885812218899694,0,0,0,0.00196847159755488,0.000565935584297027,0,0,0,0,0,0,0,0.000177162443779939,0,0,0,0.000369088424541539,0,0,0,0,0,0,0.0928811020358783,0,0,0,0,0,0,0,4.92117899388719e-05,0.000393694319510975,0,0,0,0,0,0,0,0,0,0,0,0.00168304321590942,0,0,0.000984235798777438,0,0,0.00155017138307446,0.00779514752631731,0.00156493492005613,0.000265743665669908,0,0.0148373546665699,0,0,0.0197339277654876,0,0,0,0,0,0.000413379035486524,0,0,0,0.0120322826400542,0.337396548028493,0,0,0,0,0,0,0,0.000664359164174771,0.00120217372564958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000344482529572103,0,0.000442906109449847,0,0,0,0,0,0,0,0,0.0857269380735148,0,0.000295270739633231,0,0,0,0.00374009603535426,0,0,0.000442906109449847,0,0,0,0,0,0,0,0,0,0.0589460617728888,0,0,0,0,0,0,0,0,0.00354324887559878,0,0
"7","50ppt-3C_1",0,0.000749852821303576,0,0,0,2.67804579036992e-05,0,0,0,0,0,0,0,0.00251736304294772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164967620686787,0,0,0,0,0,0,0,0.0348681561906163,0,0,0.00103104762929242,0.047803117358103,0,0,0,0,0,0.0373051778598529,0,0,0.00344002993021107,0,0,0,0,0,0.000749852821303576,0,9.37316026629471e-05,0,0,0,0,0,0,0,0,0.000187463205325894,0,0,0.000535609158073983,0,0,0,0,0,0,0,0,0.00178090045059599,0.000124975470217263,0,0,0.00431165372249556,0,0,0,0,0,0,0.0399452846681926,0,0,0,0,0.000487404333847325,0,0,0.00131224243728126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00362428863630062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000468658013314735,0,0,0,0,0.0815464943167639,0,0,0,0,0,0,0,0,0.00143721790749852,0,0,0,0,0,0,0,0,0,0,0.00131224243728126,0.00063737489810804,0,0.000374926410651788,0,0,0,9.37316026629471e-05,0.00686115331492772,0.000562389615977682,0.00119976451408572,0,0.014247203604768,0,0,0.0394297608535464,0,0,0,0,0,0,0,0,0,0.0202460261751966,0.539678164617291,0,0,0,0,0.000328060609320315,0,0,0.00309314288787725,0.00182776625192747,0,9.37316026629471e-05,0,0.00181214431815031,0,0,0,0,0,0,0.00112477923195536,0,0,0,0,0,0.00112477923195536,0,0,0,0,0,0.00328060609320315,0,0,0,0,0.0309314288787725,0,0.00243702166923662,0,0,0,0.000874828291520839,0,0,0.000937316026629471,0,0,0,0,0,0,0,0,0,0.044866692308912,0,0,0,0,0,0,0.000468658013314735,0,0.000749852821303576,0.000562389615977682,0
"8","50ppt-3C_2",0,0.0011212331319353,0,0,0,0,0,0,0,0,0,0,0,0.0114525955619106,0,0,0,0.000130810532059119,0,0,0,0,0.0035505715844618,0,0,0,0.000124581459103923,0,0,0,0,0,0,0.0212099934124428,0,0,0,0,0,0,0,0.0327960691091077,0,0,0,0.0271899034494311,0,0,0,0,0,0.0101845342817457,0,0,0.00953387224504402,0,0.000140154141491913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00327026330147797,0,0.000186872188655884,0,0,0,0,0,0,0,0,0,0.000654052660295594,0,0,0,0.0138752600076994,0.000747488754623536,0,0,0,0,0,0.017791789628279,0,0,0,0,0.00011212331319353,0,0,0.00102779703760736,0,0,0,0,0,0,0,0,0,0.00186872188655884,0,0,0,0.0027407921002863,0.000700770707459565,0,0,0,0,0,0,0,0.000128140929364035,0,0,0,0,0,0.000186872188655884,0,0,0,0,0.150330333265237,0,0,0,0,0,0,0,0,0.000778634119399517,0,0,0,0,0,0,0,0,0,0,9.3436094327942e-05,0.00222377904500502,0,0.000280308282983826,0.00109008776715932,0,0,0.00313010915998606,0.014800277341546,0.00222377904500502,0.000280308282983826,0,0.0194814256673759,0,0,0.0265669961539115,0,0,0,0,0,7.47488754623536e-05,0,0,0,0.030600320892401,0.351636722214541,0,0,0,0,0,0,0,0.00154169555641104,0.00126138727342722,0,0,0,0,0,0,0,0,0,0,0.000840924848951478,0,0,0,0,0,0.000685198025071575,0,0.000513898518803681,0,0,0,0,0,0,0,0,0.150650129421419,0,0.000373744377311768,0,0,0,0.00535700274146868,0,0,0.000140154141491913,0,0,0,0,0,0,0,0,0,0.06880660571008,0,0,0,0,0,0,0.000747488754623536,0,0.00476524081072504,0,0
"9","50ppt-3C_3",0,0.00120540214536797,0,0,0,0,0,0,0,0,0,0,0,0.00493640878579266,0,0,0,0,0,0,0,0,0.00100450178780665,0,0,0,0,0.000167416964634441,0,0,0,0,0,0.0237062421922368,0,0,0.00133933571707553,0,0,0.000267867143415106,0,0.0555824322586344,0,0,0,0.0403140050839734,0,0,0,0,0,0.0476803515278888,0.000401800715122658,0,0.00401686241984447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000535734286830211,0,0,0,0,0,0,0,0.000200900357561329,0,0,0,0.00207597036146707,0,0,0,0.0059600439409861,0.00133933571707553,0,0,0,0,0,0.0382603569844576,0,0,0,0,0,0,0.000468767500976435,0.00147326928878308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236615976683343,0.000491089762927694,0,0,0,0,0,0,0,0.000334833929268882,0,0,0,0,0,0.000803601430245317,0,0,0,0,0.137918095465852,0,0,0,0,0,0.000234383750488217,0,0,0.00160720286049063,0,0,0,0,0,0,0,0,0,0,0,0.000830388144586827,0,0,0.000446445239025176,0,0,0.000669667858537764,0.00433944772332471,0.00107146857366042,0.00107146857366042,0,0.0108486193083118,0,0,0.0438409224722723,0,0,0,0,0,0,0,0,0,0.0252464782668737,0.423012546006669,0,0,0,0,0.000267867143415106,0,0,0.00421890750878791,0.000837084823172205,0,0,0.000267867143415106,0,0,0,0,0,0,0,0.00241080429073595,0,0,0,0,0,0.00116075762146546,0,0.000535734286830211,0,0,0,0.00395104036537281,0,0,0.00107146857366042,0,0.0337066155464008,0,0.00408497393708036,0,0,0,0.00156255833658812,0,0,0.000468767500976435,0,0,0,0,0,0,0,0,6.69667858537764e-05,0.0570865356281605,0,0,0,0,0,0,0,0,0.00120540214536797,0.000803601430245317,0.000223222619512588
"10","Ev32Core_A",0,0.0179949022446513,0,0,0,0,0.00215692321425615,0.000164337006800468,0,0,0,0,0,0.0113040383963465,0,0,0,0,0,0.00291698187070831,0.000616263775501756,0,0.000513553146251463,0,0,0,0.000287589761900819,0,0,0,0,0,0,0.078265499488723,0,0,0,0,0,0,0,0.128799129079867,0,0,0,0.0176251439793502,0,0,0,0,0,0.0048068574489137,0,0,0.0370423581867184,0,0,0,0,0,0,0,0,0,1.84879132650527e-05,0,0,0,0,0,0.000184879132650527,0.000739516530602107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294574084689839,0.00129415392855369,0.000205421258500585,0,0,0,0,0.0340177604076969,0,0.000246505510200702,0,0,0,0,0,0.0110927479590316,0.000493011020401405,0,0,0,0.000205421258500585,0,0,0.000184879132650527,0,0,0.00289643974485825,0,0,0.000739516530602107,0.00182824920065521,0,0,0,0,0,0,0,0.000105645218657444,0,0,0.00425222005096212,0,0,0,0,0,0,0,0.0459921079344602,0,0,0,0,0,0,8.21685034002341e-05,0,0.00377975115641077,0.00147903306120421,0,0,0,0,0.000246505510200702,0,0,0,0,0.000123252755100351,0.00443709918361264,0,0,0.00172553857140492,0,0,0.00591613224481686,0.0173539879181294,0.00276086171424787,0.00867699395906472,0,0.0153449680099937,0,0,0.027033437618677,0,0,0,0,0,0.00125717810202358,0,0,0,0.00573125311216633,0.20103383391221,0,0,0,0,0.00111883713367944,0,0,0.000739516530602107,0.000453394063404863,0,0,0,0,0.000271156061220773,0,0,0.00123252755100351,0,0.000476577319721358,0.00123252755100351,0,0,0,0,0,0.0155709313943444,0,0,0.00221854959180632,0,0,0,0,0.00536149484686528,0,0,0.0854552435362435,0,0.00184879132650527,0,0,0,0.0048068574489137,0,0,9.24395663252634e-05,0,0,0,0,0,0,0,0,0,0.116213261349641,0,0.00110927479590316,0,0,0,0,0.0230482652037657,0,0.00234180234690667,0.00166391219385474,0.00131469605440375
